Works Sanctioned,,,,,,,,,,,
Sr. No.,Work category,Work,State,IDA,Hon'ble Members of Parliament,Constituency,Work description,Recommended date,Sanction Date,Sanction Amount ( ₹ ),Work Status
25629,Normal/Others,WS/MP18149/2025-2026/183734-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Kesharpur Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25630,Normal/Others,WS/MP18149/2025-2026/183735-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Gamei Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25631,Normal/Others,WS/MP18149/2025-2026/183736-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of  Sipahi Asuradhipa Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25632,Normal/Others,WS/MP18149/2025-2026/183737-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of  Gambharidihi  Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25633,Normal/Others,WS/MP18149/2025-2026/183738-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Nandapur Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25634,Normal/Others,WS/MP18149/2025-2026/183739-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of  Phasipada Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25635,Normal/Others,WS/MP18149/2025-2026/183740-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Chandrasekharpur  Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25636,Normal/Others,WS/MP18149/2025-2026/183741-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Nuagaon Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25637,Normal/Others,WS/MP18149/2025-2026/183742-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Tipura Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25638,Normal/Others,WS/MP18149/2025-2026/183743-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Khairapati  Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25639,Normal/Others,WS/MP18149/2025-2026/183744-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of  Ikiri Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25640,Normal/Others,WS/MP18149/2025-2026/183745-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Nachhipur  Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25641,Normal/Others,WS/MP18149/2025-2026/183746-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of  Tentuliapalli Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25642,Normal/Others,WS/MP18149/2025-2026/183747-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Khairapati Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25643,Normal/Others,WS/MP18149/2025-2026/183748-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Kendudhipi  Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25644,Normal/Others,WS/MP346/2025-2026/183749-Lighting of public spaces,Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),Adv Adoor Prakash,ATTINGAL,MML AT NEAR ALAMKODE HS THAIKAVU IN KARAVARAM GRAMA PANCHAYATH,19-Mar-2025,18-Dec-2025,242517,Physical Inspection
25645,Normal/Others,WS/MP346/2025-2026/183750-Lighting of public spaces,Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),Adv Adoor Prakash,ATTINGAL,MML AT NEAR VELLALLOOR JAVAHAR JUNCTION IN NAGAROOR GRAMA PANCHAYATH,19-Mar-2025,25-Apr-2025,242517,Physical Inspection
25646,Normal/Others,WS/MP346/2025-2026/183751-Lighting of public spaces,Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),Adv Adoor Prakash,ATTINGAL,"MML AT NEAR FAILUL ILAHIA MUSLIM JAMA ATH,IDAKKODE IN ATTINGAL MUNCIPALITY",19-Mar-2025,11-Feb-2026,255470,Sanction
25647,Normal/Others,WS/MP346/2025-2026/183752-Lighting of public spaces,Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),Adv Adoor Prakash,ATTINGAL,MML AT NEAR MIDALAYIL SREE ANCHUMOORTHI DEVI TEMPLE IN KADAKKAVOOR GRAMA PANCHAYATH,19-Mar-2025,25-Apr-2025,255470,Sanction
25648,Normal/Others,WS/MP346/2025-2026/183753-Lighting of public spaces,Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),Adv Adoor Prakash,ATTINGAL,MML AT ISLAM MUKKU IN KADAKKAVOOR GRAMA PANCHAYATH,19-Mar-2025,25-Apr-2025,250064,Physical Inspection
25649,Normal/Others,WS/MP346/2025-2026/183754-Lighting of public spaces,Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),Adv Adoor Prakash,ATTINGAL,MML AT NEAR IDAKKODE KONATHU CHEMPU PARAMPIL SREE APPUPPAN THAMPURAN TEMPLE IN KADAKKAVOOR GRAMA PANCHAYATH,19-Mar-2025,25-Apr-2025,250064,Physical Inspection
25650,Normal/Others,WS/MP18149/2025-2026/183777-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of  Krushnaprasad Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25651,Normal/Others,WS/MP18149/2025-2026/183778-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Lathipada Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25652,Normal/Others,WS/MP18149/2025-2026/183779-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Nagpur Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25653,Normal/Others,WS/MP18149/2025-2026/183780-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Itamati  Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25654,Normal/Others,WS/MP18149/2025-2026/183781-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Dengeragodi Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25655,Normal/Others,WS/MP18149/2025-2026/183782-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Pratapprasad  Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25656,Normal/Others,WS/MP18149/2025-2026/183783-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of  Biruda Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25657,Normal/Others,WS/MP18149/2025-2026/183784-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of  Baghara Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25658,Normal/Others,WS/MP18149/2025-2026/183785-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Patachandiprasad Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25659,Normal/Others,WS/MP18149/2025-2026/183786-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Baunsiapada Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25660,Normal/Others,WS/MP18149/2025-2026/183787-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Purusottampur Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25661,Normal/Others,WS/MP18149/2025-2026/183788-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Bijipur Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25662,Normal/Others,WS/MP18149/2025-2026/183789-Street lights,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SAMBIT PATRA,PURI,Installation of Solar Light at Cremation Ground of Janhipada Village.,22-Mar-2025,03-Sep-2025,40000,Physical Inspection
25663,Normal/Others,"WS/MP18212/2025-2026/183792-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA),ANAND BHADAURIYA,DHAURAHRA,Block Pisawan ke gram panchayat Jalalnagar me Haji Jalil Kha ke makan se Rafat aha ke makan tak R C C Road ka karya,27-Mar-2025,08-Jul-2025,1000000,Work partially Completed
25664,Normal/Others,"WS/MP18258/2026-2027/183793-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,CHANDRAPUR,"Construction of cement concrete road from the house of Shri Muralidhar Burande in Mauja Itoli, Tal. Ballarpur to Itoli Lake.",20-Mar-2025,18-Jun-2026,1500000,Physical Inspection
25665,Normal/Others,"WS/MP18155/2025-2026/183794-Construction of roads, link roads, pathways or any other road with or without drainage system",Punjab,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),Construction of Street and Drains from Babbu house upto Bhagu house and From Kulwinder house upto Karam Singh de Hawali,19-Mar-2025,15-Apr-2025,500000,Vendor Identification
25666,Normal/Others,"WS/MP18258/2026-2027/183797-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,CHANDRAPUR,"Construction of cement concrete road from Ghanshtha Atta Chakki to Shri Padgelwar house to Shri Nitin Jadhav house at vitthal Mandir Ward No. 15, Chandrapur.",20-Mar-2025,03-Aug-2026,1500000,Physical Inspection
25667,Normal/Others,WS/MP643/2024-2025/183798-Street lights,Madhya Pradesh,BURHANPUR(District Collector Burhanpur_IDA),Gyaneshwar Patil,KHANDWA,12 solar street lights,23-Mar-2025,28-Mar-2025,541872,Work Completed
25668,Normal/Others,WS/MP18258/2026-2027/183802-Providing drains and gutters for public drainage,Maharashtra,CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,CHANDRAPUR,"Construction of cement concrete drain from the house of Shri Zakir Ali to the house of Rudra Shettiwar under Gram Panchayat Bamani, Taluka Ballarpur.",20-Mar-2025,19-Jun-2026,1000000,Physical Inspection
25669,Normal/Others,WS/MP18155/2025-2026/183803-Providing drains and gutters for public drainage,Punjab,KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),Desilting and digging of Pond in Village Darvesh Pind Block Phagwara,21-Mar-2025,12-May-2025,500000,Work partially Completed
25670,Normal/Others,WS/MP18155/2025-2026/183804-Installation of multi-gym equipment,Punjab,KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),For Purchase of Gym Equipments,21-Mar-2025,13-May-2025,774877,Physical Inspection
25671,Normal/Others,"WS/MP18258/2026-2027/183805-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,CHANDRAPUR,"Construction of cement road from Homeless Colony Anganwadi to Kavadjai Road in Ward No. 4, Mauja Kothari, Tal. Ballarpur.",20-Mar-2025,17-Jun-2026,1500000,Physical Inspection
25672,Normal/Others,WS/MP18222/2025-2026/183807-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,Rakesh yadav ke makan ke pas,23-Apr-2025,11-Jun-2025,20900,Physical Inspection
25673,Normal/Others,WS/MP18222/2025-2026/183808-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,Ajay Yadav ke makan ke pas,23-Apr-2025,11-Jun-2025,20900,Physical Inspection
25674,Normal/Others,WS/MP18222/2025-2026/183810-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,Jitendra kumar Yadav ke makan ke pas,23-Apr-2025,11-Jun-2025,20900,Physical Inspection
25675,Normal/Others,"WS/MP18258/2026-2027/183811-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,CHANDRAPUR,"Construction of cement concrete road from Babarla Road to Ashok Thackeray house in Mouja Gadisurla, Taluka Mul.",20-Mar-2025,18-Jun-2026,1000000,Physical Inspection
25676,Normal/Others,"WS/MP18258/2026-2027/183812-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,CHANDRAPUR,"Construction of cement road from Shri Ramrao Tonge house to Shri Salve farm in Mouja Kotimakta, Taluka Ballarpur.",20-Mar-2025,18-Jun-2026,1500000,Physical Inspection
25677,Normal/Others,WS/MP18222/2025-2026/183813-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,Gyanchand yadav ke makan ke pas,23-Apr-2025,11-Jun-2025,20900,Physical Inspection
25678,Normal/Others,WS/MP18258/2025-2026/183814-Providing drains and gutters for public drainage,Maharashtra,CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,CHANDRAPUR,"Construction of a closed drain from the house of Mr. Yashwant Bodhe to the house of Mr. Rahul Tayde in Mouja Kosara, Taluka Chandrapur.",20-Mar-2025,09-Mar-2026,1000000,Work Completed
25679,Normal/Others,WS/MP18222/2025-2026/183815-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,Vivek kumar yadav ke makan ke pas,23-Apr-2025,11-Jun-2025,20900,Physical Inspection
25680,Normal/Others,"WS/MP18258/2025-2026/183816-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,CHANDRAPUR,"Construction of the remaining road from the house of Mr. Yashwant Bodhe in Mouja Kosara, Taluka Chandrapur to D.P. Road.",20-Mar-2025,09-Mar-2026,500000,Work Completed
25681,Normal/Others,WS/MP18222/2025-2026/183817-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,Shivvachan yadav ke makan ke pas,23-Apr-2025,11-Jun-2025,20900,Physical Inspection
25682,Normal/Others,WS/MP18222/2025-2026/183818-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,Prabhakar yadav ke makan ke pas,23-Apr-2025,11-Jun-2025,20900,Physical Inspection
25683,Normal/Others,WS/MP18222/2025-2026/183819-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,Ramkumar Yadav ke makan ke pas,23-Apr-2025,11-Jun-2025,20900,Physical Inspection
25684,Normal/Others,"WS/MP437/2025-2026/183820-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,GARHWA(Deputy Commissioner garhwa_IDA),Vishnu Dayal Ram,PALAMU(SC),Construction of 300 feet PCC  road from Var tree to pond in village Palhe Khurd,19-Mar-2025,01-Jul-2025,450000,Vendor Identification
25685,Normal/Others,WS/MP437/2025-2026/183822-Construction of public irrigation facilities,Jharkhand,GARHWA(Deputy Commissioner garhwa_IDA),Vishnu Dayal Ram,PALAMU(SC),Installation of deep bore near the farm of Umashankar Yadav in vi,19-Mar-2025,01-Jul-2025,200000,Vendor Identification
25686,Normal/Others,WS/MP18258/2025-2026/183824-Providing drains and gutters for public drainage,Maharashtra,CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,CHANDRAPUR,"Construction of a drain from the house of Shri Gangadhar Mekalwar in Korpana, Parsoda Taluka to the house of Dilip Pachbhai.",20-Mar-2025,11-Mar-2026,1000000,Work Completed
25687,Normal/Others,WS/MP437/2025-2026/183828-Construction of community centers and community halls,Jharkhand,GARHWA(Deputy Commissioner garhwa_IDA),Vishnu Dayal Ram,PALAMU(SC),Construction of community building in village Korwadih,19-Mar-2025,01-Jul-2025,400000,Vendor Identification
25688,Normal/Others,WS/MP437/2025-2026/183829-Construction of community centers and community halls,Jharkhand,GARHWA(Deputy Commissioner garhwa_IDA),Vishnu Dayal Ram,PALAMU(SC),Construction of community building in Panchayat Shivpur village Checharia,19-Mar-2025,01-Jul-2025,400000,Sanction
25689,Normal/Others,WS/MP437/2025-2026/183830-Construction of public irrigation facilities,Jharkhand,GARHWA(Deputy Commissioner garhwa_IDA),Vishnu Dayal Ram,PALAMU(SC),Installation of deep bore near the farm of Rajendra Pandey in village Korgain,19-Mar-2025,01-Jul-2025,200000,Vendor Identification
25690,Normal/Others,WS/MP18189/2025-2026/183831-Installing hand pumps,Telangana,KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA),RAMASAHAYAM RAGHURAM REDDY,KHAMMAM,"Digging of bore well near Shivanjaneya Swamy temple near Kannepogu Hussain house, Muchavaram  Kalluru Mandal",16-Jun-2025,10-Sep-2025,80000,Sanction
25691,Normal/Others,WS/MP18189/2025-2026/183833-Installing hand pumps,Telangana,KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA),RAMASAHAYAM RAGHURAM REDDY,KHAMMAM,"Digging of bore well near  Akkamma temple  near Payapur Cheruvu Katta, Payapur village of Kalluru Mandal",16-Jun-2025,10-Sep-2025,80000,Sanction
25692,Normal/Others,"WS/MP18258/2025-2026/183834-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,YAVATMAL(DISTRICT COLLECTOR YAVATMAL_IDA),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,CHANDRAPUR,Construction of connecting road from Akola Bazar to Savali Taluka Ghatanji Main Road Pardi No. (Heti Tanda). 350 Mt.,20-Mar-2025,25-Aug-2025,1966157,Physical Inspection
25693,Normal/Others,WS/MP18189/2025-2026/183835-Installing hand pumps,Telangana,KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA),RAMASAHAYAM RAGHURAM REDDY,KHAMMAM,"Digging of bore well and installing handpump at Modugu Vijaya Krishna house, Chennuru village, Kalluru Mandal",16-Jun-2025,10-Sep-2025,80000,Sanction
25694,Normal/Others,"WS/MP18162/2025-2026/183836-Construction of roads, link roads, pathways or any other road with or without drainage system",Rajasthan,Shahpura(DISTRICT COLLECTOR Shahpura_IDA),DAMODAR AGARWAL,BHILWARA,samudayik bhawan vistar kary gopal putra bhoja gurjar ke makan ke paas Vill-Rakshi GP-Rakshi PS- Banera,19-Mar-2025,28-Aug-2025,500000,Physical Inspection
25695,Normal/Others,WS/MP18162/2025-2026/183837-Security gates in streets/public place for safety purpose,Rajasthan,BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA),DAMODAR AGARWAL,BHILWARA,Sabalpura Chauraha par Udhayan ki Char Diwari Nirman Kary Vill-Sabalpura GP-Rampuriya PS-Kareda,19-Mar-2025,11-Jun-2025,499960,Physical Inspection
25696,Normal/Others,WS/MP18024/2025-2026/183840-Construction of community centers and community halls,Assam,JORHAT(DEPUTY COMMISSIONER JORHAT_IDA),GAURAV GOGOI,JORHAT,"Instalation of Drinking Water System at Kamar Gaon Sabha Ghor, Dhekeliya, Borsaikia Gaon, Ward No 2, 70 No Madhya Khongia GP",19-Mar-2025,24-Sep-2025,200000,Vendor Identification
25697,Normal/Others,WS/MP18162/2025-2026/183842-Security gates in streets/public place for safety purpose,Rajasthan,BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA),DAMODAR AGARWAL,BHILWARA,Mahatma Gandhi Rajkiy Vidhyalay Bheemdiyas Ki Char Deewari Nirman Kary Vill-Bheemdiyas GP-Bheemdiyas PS-Mandal,19-Mar-2025,21-May-2025,499841,Physical Inspection
